account_id,account_type,bio,followers,following,posts
user_1,0,Tech enthusiast 🚀,9445,4517,192
user_2,1,Love traveling and photography 📸,5008,1853,91
user_3,1,Fake profile alert ⚠️,172,2701,230
user_4,0,Follow for daily motivation! 💡,1984,1722,77
user_5,0,Follow for daily motivation! 💡,3301,3077,84
user_6,0,Crypto investor 💰,8471,1072,29
user_7,0,Tech enthusiast 🚀,641,2791,212
user_8,1,Social media marketing expert 📊,915,3796,48
user_9,0,Tech enthusiast 🚀,2024,1293,264
user_10,1,No bio yet...,9843,3876,144
user_11,0,AI & ML researcher 🤖,7906,1811,68
user_12,1,Love traveling and photography 📸,214,1509,57
user_13,1,Love traveling and photography 📸,591,3313,184
user_14,0,Tech enthusiast 🚀,5685,2956,61
user_15,0,Follow for daily motivation! 💡,9042,76,295
user_16,0,Follow for daily motivation! 💡,5357,1695,165
user_17,0,Social media marketing expert 📊,9921,1349,170
user_18,0,No bio yet...,2653,3308,62
user_19,0,Love traveling and photography 📸,8027,3118,146
user_20,0,Social media marketing expert 📊,2307,887,160
user_21,0,Follow for daily motivation! 💡,884,4239,140
user_22,0,Social media marketing expert 📊,5570,2667,96
user_23,0,AI & ML researcher 🤖,699,1509,220
user_24,0,Follow for daily motivation! 💡,4010,2468,42
user_25,0,Nature lover 🌿,9624,2558,291
user_26,1,No bio yet...,681,737,107
user_27,0,Fake profile alert ⚠️,7937,1753,265
user_28,0,Love traveling and photography 📸,1181,3929,94
user_29,0,Crypto investor 💰,5601,428,261
user_30,0,AI & ML researcher 🤖,9145,3483,70
user_31,0,Click here to win prizes! 🎁,6352,1596,218
user_32,0,Fake profile alert ⚠️,1459,4490,20
user_33,0,Crypto investor 💰,2549,4442,91
user_34,1,Follow for daily motivation! 💡,3969,4714,126
user_35,1,Click here to win prizes! 🎁,6295,497,79
user_36,1,Tech enthusiast 🚀,5442,196,237
user_37,0,Tech enthusiast 🚀,4270,503,181
user_38,0,AI & ML researcher 🤖,2371,4922,24
user_39,0,Tech enthusiast 🚀,6174,1261,155
user_40,0,Click here to win prizes! 🎁,3680,1973,4
user_41,0,Click here to win prizes! 🎁,1763,4327,119
user_42,0,No bio yet...,8110,2191,276
user_43,0,Fake profile alert ⚠️,1948,821,17
user_44,1,Love traveling and photography 📸,8572,3225,197
user_45,0,Nature lover 🌿,5986,1478,56
user_46,0,Social media marketing expert 📊,6598,1091,92
user_47,0,Tech enthusiast 🚀,8626,4204,18
user_48,0,AI & ML researcher 🤖,6314,1879,192
user_49,0,Tech enthusiast 🚀,7355,875,236
user_50,0,Social media marketing expert 📊,7885,4768,276
user_51,1,Fake profile alert ⚠️,9096,2047,226
user_52,1,No bio yet...,6643,277,232
user_53,1,Click here to win prizes! 🎁,607,1034,39
user_54,1,No bio yet...,3072,3223,152
user_55,0,Follow for daily motivation! 💡,2346,4074,126
user_56,1,Tech enthusiast 🚀,9889,1056,236
user_57,0,Love traveling and photography 📸,582,4038,54
user_58,0,Follow for daily motivation! 💡,7531,1578,171
user_59,0,Fake profile alert ⚠️,6181,3195,108
user_60,0,Tech enthusiast 🚀,7107,4393,183
user_61,0,Follow for daily motivation! 💡,2100,3802,197
user_62,0,Tech enthusiast 🚀,6576,3294,86
user_63,1,AI & ML researcher 🤖,4634,3752,200
user_64,0,Fake profile alert ⚠️,1643,2110,274
user_65,0,Nature lover 🌿,1527,312,210
user_66,0,Click here to win prizes! 🎁,3658,3364,117
user_67,0,Crypto investor 💰,1547,3181,190
user_68,1,Click here to win prizes! 🎁,3147,1256,41
user_69,0,Click here to win prizes! 🎁,6995,2752,41
user_70,1,Follow for daily motivation! 💡,107,1522,275
user_71,1,Fake profile alert ⚠️,3760,1383,16
user_72,0,Tech enthusiast 🚀,8545,4896,282
user_73,0,No bio yet...,8184,4997,257
user_74,1,Crypto investor 💰,8113,1966,62
user_75,1,Social media marketing expert 📊,5423,4310,61
user_76,1,Follow for daily motivation! 💡,4676,2868,99
user_77,1,Crypto investor 💰,620,2661,18
user_78,0,Nature lover 🌿,1737,2499,16
user_79,0,AI & ML researcher 🤖,1864,4572,245
user_80,0,Fake profile alert ⚠️,5065,4010,250
user_81,1,Social media marketing expert 📊,2334,3568,80
user_82,0,Follow for daily motivation! 💡,9379,927,38
user_83,0,Click here to win prizes! 🎁,9293,4237,35
user_84,0,Love traveling and photography 📸,5784,4467,196
user_85,0,Follow for daily motivation! 💡,6529,2964,157
user_86,0,Love traveling and photography 📸,1759,188,203
user_87,1,Click here to win prizes! 🎁,791,3363,195
user_88,0,AI & ML researcher 🤖,7558,1403,215
user_89,1,Fake profile alert ⚠️,6833,2801,284
user_90,0,Tech enthusiast 🚀,2115,541,195
user_91,0,Follow for daily motivation! 💡,3877,1278,151
user_92,1,No bio yet...,7203,2972,13
user_93,1,Click here to win prizes! 🎁,4986,3054,145
user_94,0,Follow for daily motivation! 💡,2123,1101,56
user_95,1,Nature lover 🌿,5889,1310,210
user_96,0,AI & ML researcher 🤖,3980,920,267
user_97,0,Nature lover 🌿,9269,3086,209
user_98,0,Crypto investor 💰,7274,4252,16
user_99,0,Fake profile alert ⚠️,1587,1033,285
user_100,0,Crypto investor 💰,9213,1982,202
user_101,0,Follow for daily motivation! 💡,2284,3359,98
user_102,0,Social media marketing expert 📊,4879,2516,278
user_103,0,Social media marketing expert 📊,6754,275,208
user_104,0,Fake profile alert ⚠️,2436,1191,128
user_105,1,No bio yet...,5556,4560,287
user_106,0,AI & ML researcher 🤖,6862,4205,251
user_107,0,No bio yet...,2561,3769,264
user_108,1,AI & ML researcher 🤖,6421,2403,270
user_109,0,Click here to win prizes! 🎁,17,4534,187
user_110,0,Follow for daily motivation! 💡,8097,4240,213
user_111,0,Crypto investor 💰,2565,4187,282
user_112,0,Social media marketing expert 📊,485,1716,210
user_113,1,Nature lover 🌿,5426,2235,75
user_114,1,Tech enthusiast 🚀,8686,133,147
user_115,0,Love traveling and photography 📸,7249,1274,212
user_116,1,Tech enthusiast 🚀,6720,3677,108
user_117,1,Crypto investor 💰,5010,1606,128
user_118,0,Crypto investor 💰,4664,4770,9
user_119,1,AI & ML researcher 🤖,8088,3975,46
user_120,0,No bio yet...,6073,4249,95
user_121,1,Tech enthusiast 🚀,2295,4952,102
user_122,1,AI & ML researcher 🤖,5233,632,145
user_123,0,AI & ML researcher 🤖,6981,3802,26
user_124,0,No bio yet...,3535,2049,219
user_125,0,Nature lover 🌿,2832,3557,17
user_126,0,Social media marketing expert 📊,4953,4984,166
user_127,1,Fake profile alert ⚠️,6540,2346,81
user_128,1,Social media marketing expert 📊,268,3219,71
user_129,0,Love traveling and photography 📸,292,254,253
user_130,0,Tech enthusiast 🚀,1908,2930,161
user_131,0,Social media marketing expert 📊,4145,979,37
user_132,0,Fake profile alert ⚠️,6639,1330,200
user_133,0,Click here to win prizes! 🎁,3210,988,199
user_134,0,Tech enthusiast 🚀,5120,893,254
user_135,1,Fake profile alert ⚠️,7177,2942,178
user_136,0,AI & ML researcher 🤖,622,2122,34
user_137,0,Crypto investor 💰,697,2677,81
user_138,1,Nature lover 🌿,3700,4975,219
user_139,0,Love traveling and photography 📸,8814,1331,157
user_140,1,Fake profile alert ⚠️,2317,475,3
user_141,1,Social media marketing expert 📊,7143,1992,166
user_142,0,Crypto investor 💰,6519,95,203
user_143,0,Social media marketing expert 📊,9983,534,193
user_144,0,Tech enthusiast 🚀,5916,4761,234
user_145,0,Fake profile alert ⚠️,2601,4064,205
user_146,0,Social media marketing expert 📊,7193,4839,149
user_147,0,No bio yet...,5258,2778,158
user_148,0,Follow for daily motivation! 💡,8776,4972,278
user_149,0,Crypto investor 💰,5118,1691,165
user_150,0,Click here to win prizes! 🎁,3614,196,67
user_151,1,Crypto investor 💰,679,1991,87
user_152,0,Social media marketing expert 📊,4374,3628,216
user_153,0,Social media marketing expert 📊,7339,2190,0
user_154,0,Love traveling and photography 📸,1293,4445,134
